"id","english","romanized_sourashtra","tamil"
"1","How are you?","Tumi kiso se?","எப்படி இருக்கீங்க?"
"2","I am fine.","Me chokad se.","நான் நல்லா இருக்கேன்."
"3","What is your name?","Tumre naav kaayi?","உங்கள் பெயர் என்ன?"
"4","Hello / Greetings","Namaskar","நமஸ்கார்"
"5","Welcome (come in)","Bhithar avo / Bhisthar avo","உள்ளே வாங்க"
"6","Welcome (general)","Avo, avo / Avo","வாருங்கள், வாருங்கள்"
"7","Morning","Sulabhar / Palthibar","காலை வணக்கம்"
"8","Evening","Veelta","மாலை வணக்கம்"
"9","Night","Raathi","இரவு வணக்கம்"
"10","Thank you","<To Be Filled>","நன்றி"
"11","Please","To Be Filled","தயவு செய்து"
"12","Yes","Hayii","ஆமாம்"
"13","No","Nee / Nhi","இல்லை"
"14","How are you?","Thumi sauriyam ya? / Sauriyam ya / Tumi kono se? / Tumi kiso se","எப்படி இருக்கீங்க?"
"15","How are you? (informal)","Thu kono se?","எப்படி இருக்க?"
"16","How are you all doing?","Aski thenu sauriyam ya? / Aski thenu chokad se ya?","எல்லாரும் எப்படி இருக்கீங்க?"
"17","I am fine","Me chokad se","நான் நல்லா இருக்கேன்"
"18","I am very well","Me jukku chokad se","நான் ரொம்ப நல்லா இருக்கேன்"
"19","And you?","ginu tumi?","நீங்களா?"
"20","What is your name?","Tumre naav kaayi? / Thumro naav kaai?","உங்கள் பெயர் என்ன?"
"21","My name is ___","Morey naav ___ ","என் பெயர் ___"
"22","This is my mother","Yenu morey amma / Yenu morey maa","இது என் அம்மா"
"23","This is my father","Yenu morey baa","இது என் அப்பா"
"24","This is my brother","Yenu morey bhaiyi","இது என் சகோதரர்"
"25","This is my sister","Yenu morey baiyi","இது என் சகோதரி"
"26","Where do you live?","Thumi kot rehoso? / Thumi kot rhaanu","நீங்க எங்க இருக்கீங்க?"
"27","I live in ___","To Be Filled","நான் ___ இருக்கேன்"
"28","How old are you?","Thumre vayasu kitho?","உங்களுக்கு எத்தனை வயது?"
"29","I am ___ years old","Me ___ <To Be Filled>","எனக்கு ___ வயது"
"30","What are you doing?","Thume kai khereryuh? / Thu kayi kheroraasi?","என்ன செய்துகொண்டிருக்கீங்க?"
"31","What is this?","Yeh kaayi?","இது என்ன?"
"32","Where are you going?","Thumi kuth jaarasi?","எங்கே போறீங்க?"
"33","I am going home","Me gher jaarisi","நான் வீட்டுக்குப் போறேன்"
"34","Come here","Yait avo","இங்கே வா"
"35","Go there","Thet javo","அங்கே போ"
"36","Wait","<To Be Filled>","காத்திருங்க"
"37","Sit down","Bisso","உட்காருங்க"
"38","Stand up","Utho","எழுந்திருங்க"
"39","I don't understand","Mogo arthu horeeni","எனக்குப் புரியல"
"40","Please speak slowly","Rovvo hallu vatha keruvo","தயவு செய்து மெத்வா பேசுங்க"
"41","Can you repeat?","Phiri sango?","மறுபடி சொல்ல முடியுமா?"
"42","I am hungry","Potum jelarisi","எனக்குப் பசிக்குது"
"43","I am thirsty","To Be Filled","எனக்குத் தாகமா இருக்கு"
"44","What is there to eat?","Khasogu kaayi se?","சாப்பிட என்ன இருக்கு?"
"45","This is delicious","Yeh chokad se","இது ரொம்ப ருசி"
"46","Give me water","Rovvo pani devo,"எனக்குத் தண்ணீர் கொடுங்க"
"47","Thank you for the food","To Be Filled","சாப்பாட்டுக்கு நன்றி"
"48","I love you","Me thogo pirev kerorisi","நான் உன்னை காதலிக்கிறேன்"
"49","I miss you","To Be Filled","நீங்க என் ஞாபகத்தில் இருக்கீங்க"
"50","I am happy","Me khush se / Mogo Khushi horisi","நான் சந்தோஷமா இருக்கேன்"
"51","I am sad","Me dukhga se / Mogo Dukhaarisi","நான் வருத்தமா இருக்கேன்"
"52","I am tired","To Be Filled","நான் களைப்படைந்திருக்கேன்"
"53","It's hot today","Hindo Hunaaga se","இன்று வெப்பமாக இருக்கு"
"54","It's cold today","Hindo siloga se","இன்று குளிர்ச்சியாக இருக்கு"
"55","Let's go","Chali","போகலாம்"
